id,rules,ms_x1,rows_x1,ms_xk,rows_xk
conj_335,ASY3730431056479538658,0.19,0,0.19,0
conj_336,SYM3730431056479538658,0.13,0,0.11,0
conj_337,ASY6235643113471653291,0.19,0,0.34,0
conj_338,SYM6235643113471653291,0.12,0,0.12,0
conj_339,PrototypeContext.SYM1281036245684789643,0.14,0,0.14,0
conj_340,PrototypeContext.SYM2929575726137283991,0.18,0,0.16,0
conj_341,PrototypeContext.IRF1351479429284401801,0.18,0,0.1,0
conj_342,PrototypeContext.ComputeIsSubItemOfClosure,0.14,0,0.15,0
conj_343,PrototypeContext.ComputeIsSubItemOfClosure,0.14,0,0.21,0
conj_344,Compute7281322003003760225,0.12,0,0.15,0
