scripts_before,ops,committed,affectedConjuncts,mutateMs,closeMs,totalMs
6675,100,True,110,9.01,140.42,149.44
6700,100,True,110,13.48,138.62,152.1
6725,100,True,110,10.32,132.09,142.41
6750,100,True,110,8.19,133.13,141.32
6775,100,True,110,8.71,129.7,138.41
6800,100,True,110,9.3,136.72,146.02
6825,100,True,110,20.59,134.73,155.31
6850,100,True,110,8.22,138.77,147
6875,100,True,110,14.16,130.39,144.55
6900,100,True,110,11.81,124.57,136.38
6925,100,True,110,7.79,130.95,138.75
6950,100,True,110,9.22,141.11,150.33
6975,100,True,110,7.94,131.57,139.52
7000,100,True,110,9.2,133.38,142.58
7025,100,True,110,7.14,134.48,141.61
7050,100,True,110,8.8,130.2,139
7075,100,True,110,8.25,130.08,138.33
7100,100,True,110,17.75,130.76,148.5
7125,100,True,110,7.7,130.39,138.09
7150,100,True,110,8.33,134.14,142.47
7175,100,True,110,10.1,131.81,141.91
7200,100,True,110,8.59,143.15,151.74
7225,100,True,110,10.5,132.67,143.17
7250,100,True,110,9.42,128.57,137.99
7275,100,True,110,7.57,134.04,141.62
7300,100,True,110,8.09,133.7,141.79
7325,100,True,110,8.17,134.3,142.47
7350,100,True,110,7.78,133.9,141.68
7375,100,True,110,7.53,129.58,137.12
7400,100,True,110,8.72,130.39,139.11
7425,100,True,110,8.18,134.1,142.29
7450,100,True,110,8.57,139.35,147.92
7475,100,True,110,7.61,133.34,140.95
7500,100,True,110,8.28,132.96,141.24
7525,100,True,110,7.98,139.36,147.34
7550,100,True,110,8.71,135.39,144.1
7575,100,True,110,8.82,143.04,151.85
7600,100,True,110,8.3,142.39,150.69
7625,100,True,110,8.8,155.09,163.89
7650,100,True,110,9.06,153.34,162.4
7675,100,True,110,8.32,185.84,194.16
7700,100,True,110,10.75,154.33,165.07
7725,100,True,110,7.95,144.84,152.79
7750,100,True,110,7.49,145.36,152.85
7775,100,True,110,9.46,148.5,157.95
7800,100,True,110,9.14,154.87,164.01
7825,100,True,110,8.52,153.36,161.88
7850,100,True,110,11.23,149.86,161.09
7875,100,True,110,9.75,146.01,155.76
7900,100,True,110,9.36,152.63,161.99
7925,100,True,110,8.54,156.21,164.74
7950,100,True,110,7.26,152.1,159.37
7975,100,True,110,9.18,147.09,156.27
8000,100,True,110,7.7,150.37,158.08
8025,100,True,110,8.86,155.53,164.39
8050,100,True,110,11.21,158.76,169.96
8075,100,True,110,8.14,150.1,158.23
8100,100,True,110,8.95,153.09,162.04
8125,100,True,110,8.28,156.41,164.69
8150,100,True,110,9.69,182.34,192.02
8175,100,True,110,17.88,200.31,218.19
8200,100,True,110,9.42,158.43,167.85
8225,100,True,110,8.26,162.78,171.04
8250,100,True,110,9.77,181.88,191.65
8275,100,True,110,11.1,204.22,215.32
8300,100,True,110,10.63,183.26,193.9
8325,100,True,110,8.14,155.13,163.27
8350,100,True,110,9.31,154.46,163.77
8375,100,True,110,8.74,161.49,170.23
8400,100,True,110,9.48,158.38,167.86
8425,100,True,110,10.93,199.76,210.69
8450,100,True,110,8.23,183.02,191.26
8475,100,True,110,9.81,155.92,165.73
8500,100,True,110,11.86,159.38,171.25
8525,100,True,110,7.97,154.83,162.8
8550,100,True,110,9.06,180.53,189.59
8575,100,True,110,9.32,170.5,179.81
8600,100,True,110,9.58,154.72,164.29
8625,100,True,110,7.79,167.39,175.18
8650,100,True,110,11,163.42,174.42
8675,100,True,110,10.39,171.84,182.23
8700,100,True,110,10.49,179.77,190.26
8725,100,True,110,8.89,159.39,168.28
8750,100,True,110,12.57,167.17,179.74
8775,100,True,110,8.68,157.35,166.03
8800,100,True,110,7.97,169.94,177.91
8825,100,True,110,13.08,173.92,186.99
8850,100,True,110,8.49,190.46,198.96
8875,100,True,110,13.72,191.39,205.11
8900,100,True,110,11,187.41,198.41
8925,100,True,110,9.03,169.67,178.7
8950,100,True,110,9.59,159.07,168.67
8975,100,True,110,9.66,156.59,166.24
9000,100,True,110,7.79,167.06,174.85
9025,100,True,110,7.92,167.72,175.64
9050,100,True,110,7.81,161.63,169.43
