scale,tx,op,incremental_us,full_affected_us,affected_conjuncts
1000,80,del,30.667,93420.167,3
1000,81,del,42.916,74372.542,3
1000,82,ins,44.0,81678.459,3
1000,83,ins,22.625,13025.042,1
1000,84,del,30.375,12783.334,1
1000,85,ins,26.0,32066.292,1
1000,86,ins,31.292,74447.041,3
1000,87,ins,16.208,32360.875,1
1000,88,ins,19.666,12233.958,1
1000,89,ins,34.083,79848.125,3
1000,90,del,26.792,31233.834,1
1000,91,ins,30.5,100445.209,3
1000,92,del,30.041,33393.584,1
1000,93,ins,40.792,101537.125,3
1000,94,del,27.625,12762.625,1
1000,95,ins,33.5,107675.584,3
1000,96,del,32.583,32817.875,1
1000,97,ins,30.583,33214.75,1
1000,98,ins,36.792,84594.417,3
1000,99,del,76.166,84618.708,3
1000,100,del,36.458,32131.458,1
1000,101,del,34.708,99800.375,3
1000,102,ins,30.792,33112.708,1
1000,103,ins,25.709,13359.333,1
1000,104,del,28.833,36506.792,1
1000,105,del,38.917,103516.084,3
1000,106,del,53.291,77957.084,3
1000,107,del,34.5,32562.666,1
1000,108,del,40.417,12445.708,1
1000,109,ins,35.375,100324.167,3
1000,110,ins,25.083,13453.583,1
1000,111,del,25.542,13276.0,1
1000,112,del,27.75,32019.5,1
1000,113,del,27.917,36575.208,1
1000,114,ins,26.5,32974.166,1
1000,115,ins,28.583,32341.0,1
1000,116,del,45.667,77549.958,3
1000,117,ins,34.0,33422.125,1
1000,118,ins,36.542,103144.833,3
1000,119,ins,28.209,32699.541,1
1000,120,del,48.833,100098.958,3
1000,121,ins,40.708,97978.042,3
1000,122,ins,24.875,33026.917,1
1000,123,del,29.833,13499.875,1
1000,124,ins,30.5,33499.209,1
1000,125,del,45.584,17305.166,1
1000,126,ins,27.25,32033.833,1
1000,127,del,33.875,12965.083,1
1000,128,ins,27.75,13850.125,1
1000,129,del,35.625,12505.25,1
1000,130,ins,26.375,12574.208,1
1000,131,del,33.375,14070.625,1
1000,132,del,39.0,13454.666,1
1000,133,ins,25.708,13612.833,1
1000,134,ins,34.042,13483.792,1
1000,135,del,39.792,32019.208,1
1000,136,ins,25.959,36865.875,1
1000,137,del,58.542,77725.875,3
1000,138,del,44.667,75042.792,3
1000,139,del,37.375,35415.625,1
1000,140,del,33.5,12517.417,1
1000,141,del,44.625,99769.5,3
1000,142,del,31.042,13280.917,1
1000,143,del,27.292,13290.916,1
1000,144,ins,26.5,14027.416,1
1000,145,ins,27.958,33450.583,1
1000,146,del,32.25,32692.334,1
1000,147,ins,23.0,13306.5,1
1000,148,ins,22.542,12493.333,1
1000,149,del,30.083,32248.084,1
1000,150,ins,26.459,31404.0,1
