scripts_before,ops,committed,affectedConjuncts,mutateMs,closeMs,totalMs
10500,100,True,110,8.54,211.99,220.53
10525,100,True,110,9.1,211.96,221.07
10550,100,True,110,8.92,220.23,229.15
10575,100,True,110,8.35,218.39,226.74
10600,100,True,110,9.96,222.39,232.34
10625,100,True,110,9.68,218.34,228.02
10650,100,True,110,25.79,221.82,247.61
10675,100,True,110,9.16,215.13,224.29
10700,100,True,110,8.59,226.8,235.39
10725,100,True,110,8.68,219.62,228.3
10750,100,True,110,9.41,226.06,235.47
10775,100,True,110,8.53,213.93,222.46
10800,100,True,110,9.25,218.71,227.96
10825,100,True,110,9.17,231.13,240.29
10850,100,True,110,8.58,216.51,225.09
10875,100,True,110,18.74,220.21,238.96
10900,100,True,110,8.93,225.89,234.82
10925,100,True,110,8.22,218.55,226.77
10950,100,True,110,8.81,221.84,230.64
10975,100,True,110,8.86,224.23,233.09
11000,100,True,110,10.6,237.3,247.9
11025,100,True,110,9.03,226.31,235.34
11050,100,True,110,8.55,223.74,232.3
11075,100,True,110,8.39,222.42,230.81
11100,100,True,110,9.2,221.64,230.84
11125,100,True,110,8.44,224.35,232.79
11150,100,True,110,10.9,228.53,239.43
11175,100,True,110,8.41,221.14,229.55
11200,100,True,110,9.19,221.45,230.64
11225,100,True,110,27.1,224.89,251.99
11250,100,True,110,9.73,230.14,239.87
11275,100,True,110,8.69,221.51,230.19
11300,100,True,110,9.38,229.62,239
11325,100,True,110,8.81,226.43,235.24
11350,100,True,110,9.71,224.62,234.33
11375,100,True,110,8.91,224.48,233.39
11400,100,True,110,10.63,230.53,241.16
11425,100,True,110,9.03,230.29,239.32
11450,100,True,110,9.74,225.42,235.16
11475,100,True,110,8.99,234.79,243.78
11500,100,True,110,9.19,236.33,245.52
11525,100,True,110,8.43,232.02,240.45
11550,100,True,110,9.94,226.32,236.26
11575,100,True,110,9.14,231.49,240.63
11600,100,True,110,8.42,237.42,245.84
11625,100,True,110,9.26,228.48,237.75
11650,100,True,110,8.9,241.5,250.4
11675,100,True,110,9.59,239.17,248.76
11700,100,True,110,9.52,228.4,237.92
11725,100,True,110,8.15,228.23,236.38
11750,100,True,110,8.99,243.27,252.26
11775,100,True,110,8.81,243.8,252.61
11800,100,True,110,8.62,234.13,242.75
11825,100,True,110,8.35,237.64,245.99
11850,100,True,110,8.43,239.49,247.92
11875,100,True,110,9.38,232.17,241.55
11900,100,True,110,8.76,239.87,248.63
11925,100,True,110,9.3,237.42,246.72
11950,100,True,110,8.75,231.55,240.3
11975,100,True,110,8.4,250.45,258.85
